year_week,moodulation_potentional,k0_au2/s,k0_m2/s,V,year,month
1961.45,750,1.17333333333333E-004,2.64000000000000E+018,400,1961,6
1961.54,856,1.02803738317757E-004,2.31308411214953E+018,400,1961,7
1961.62,784,1.12244897959184E-004,2.52551020408163E+018,400,1961,8
1961.70,753,1.16865869853918E-004,2.62948207171315E+018,400,1961,9
1961.79,729,1.20713305898491E-004,2.71604938271605E+018,400,1961,10
1961.87,683,1.28843338213763E-004,2.89897510980966E+018,400,1961,11
1961.95,700,1.25714285714286E-004,2.82857142857143E+018,400,1961,12
1962.04,704,1.25000000000000E-004,2.81250000000000E+018,400,1962,1
1962.12,715,1.23076923076923E-004,2.76923076923077E+018,400,1962,2
1962.20,705,1.24822695035461E-004,2.80851063829787E+018,400,1962,3
1962.29,720,1.22222222222222E-004,2.75000000000000E+018,400,1962,4
1962.37,689,1.27721335268505E-004,2.87373004354136E+018,400,1962,5
1962.45,682,1.29032258064516E-004,2.90322580645161E+018,400,1962,6
1962.54,675,1.30370370370370E-004,2.93333333333333E+018,400,1962,7
1962.62,675,1.30370370370370E-004,2.93333333333333E+018,400,1962,8
1962.70,696,1.26436781609195E-004,2.84482758620690E+018,400,1962,9
1962.79,701,1.25534950071327E-004,2.82453637660485E+018,400,1962,10
1962.87,677,1.29985228951256E-004,2.92466765140325E+018,400,1962,11
1962.95,686,1.28279883381924E-004,2.88629737609330E+018,400,1962,12
1963.04,644,1.36645962732919E-004,3.07453416149068E+018,400,1963,1
1963.12,627,1.40350877192983E-004,3.15789473684211E+018,400,1963,2
1963.20,629,1.39904610492846E-004,3.14785373608903E+018,400,1963,3
1963.29,611,1.44026186579378E-004,3.24058919803601E+018,400,1963,4
1963.37,634,1.38801261829653E-004,3.12302839116719E+018,400,1963,5
1963.45,610,1.44262295081967E-004,3.24590163934426E+018,400,1963,6
1963.54,606,1.45214521452145E-004,3.26732673267327E+018,400,1963,7
1963.62,615,1.43089430894309E-004,3.21951219512195E+018,400,1963,8
1963.70,641,1.37285491419657E-004,3.08892355694228E+018,400,1963,9
1963.79,619,1.42164781906301E-004,3.19870759289176E+018,400,1963,10
1963.87,608,1.44736842105263E-004,3.25657894736842E+018,400,1963,11
1963.95,591,1.48900169204738E-004,3.35025380710660E+018,400,1963,12
1964.04,577,1.39930675909879E-004,3.14844020797227E+018,367,1964,1
1964.12,579,1.31468048359240E-004,2.95803108808290E+018,346,1964,2
1964.20,562,1.56583629893238E-004,3.52313167259786E+018,9999,1964,3
1964.29,553,1.59132007233273E-004,3.58047016274864E+018,9999,1964,4
1964.37,538,1.63568773234201E-004,3.68029739776952E+018,9999,1964,5
1964.45,531,1.65725047080979E-004,3.72881355932203E+018,9999,1964,6
1964.54,534,1.99400749063670E-004,4.48651685393258E+018,484,1964,7
1964.62,529,1.83818525519849E-004,4.13591682419660E+018,442,1964,8
1964.70,521,1.99731285988484E-004,4.49395393474088E+018,473,1964,9
1964.79,518,1.98339768339768E-004,4.46264478764479E+018,467,1964,10
1964.87,516,1.88023255813954E-004,4.23052325581395E+018,441,1964,11
1964.95,499,1.71943887775551E-004,3.86873747494990E+018,390,1964,12
1965.04,497,1.68651911468813E-004,3.79466800804829E+018,381,1965,1
1965.12,495,1.93777777777778E-004,4.36000000000000E+018,436,1965,2
1965.20,484,1.95454545454545E-004,4.39772727272727E+018,430,1965,3
1965.29,472,1.80381355932203E-004,4.05858050847457E+018,387,1965,4
1965.37,466,1.90729613733906E-004,4.29141630901288E+018,404,1965,5
1965.45,498,1.83333333333333E-004,4.12500000000000E+018,415,1965,6
1965.54,515,1.95223300970874E-004,4.39252427184466E+018,457,1965,7
1965.62,517,1.87659574468085E-004,4.22234042553191E+018,441,1965,8
1965.70,511,1.84266144814090E-004,4.14598825831702E+018,428,1965,9
1965.79,499,1.82084168336673E-004,4.09689378757515E+018,413,1965,10
1965.87,484,1.71818181818182E-004,3.86590909090909E+018,378,1965,11
1965.95,485,1.87340206185567E-004,4.21515463917526E+018,413,1965,12
1966.04,501,1.85748502994012E-004,4.17934131736527E+018,423,1966,1
1966.12,503,1.89821073558648E-004,4.27097415506958E+018,434,1966,2
1966.20,525,1.76838095238095E-004,3.97885714285714E+018,422,1966,3
1966.29,534,1.63146067415730E-004,3.67078651685393E+018,396,1966,4
1966.37,517,1.55744680851064E-004,3.50425531914894E+018,366,1966,5
1966.45,551,1.63702359346642E-004,3.68330308529945E+018,410,1966,6
1966.54,571,1.65674255691769E-004,3.72767075306480E+018,430,1966,7
1966.62,575,1.61843478260870E-004,3.64147826086957E+018,423,1966,8
1966.70,673,1.59851411589896E-004,3.59665676077266E+018,489,1966,9
1966.79,614,1.60521172638437E-004,3.61172638436482E+018,448,1966,10
1966.87,591,1.60439932318105E-004,3.60989847715736E+018,431,1966,11
1966.95,616,1.63571428571429E-004,3.68035714285714E+018,458,1966,12
1967.04,633,1.34154818325434E-004,3.01848341232227E+018,386,1967,1
1967.12,647,1.40092735703246E-004,3.15208655332303E+018,412,1967,2
1967.20,614,1.33648208469055E-004,3.00708469055375E+018,373,1967,3
1967.29,623,1.41252006420546E-004,3.17817014446228E+018,400,1967,4
1967.37,659,1.47556904400607E-004,3.32003034901366E+018,442,1967,5
1967.45,675,1.35585185185185E-004,3.05066666666667E+018,416,1967,6
1967.54,656,1.36158536585366E-004,3.06356707317073E+018,406,1967,7
1967.62,683,1.41727672035139E-004,3.18887262079063E+018,440,1967,8
